L-F,all of the secondary colors mixed together equals white light
L-F,a transparent object is clear and lets 100 light pass through
L-F,a translucent object is clear swell but only lets 50 go through
L-F,an opaque object lets 0 through
L-F,the law of reflection on a flat mirror is the angle of incidence equals the angle of reflection
L-F,the secondary colors are yellow cyan and magenta yellow indigo and purple
L-F,red and blue make magenta
L-F,blue and green make cyan and
L-F,green and red make yellow
L-F,all three primary colors make white
L-F,light and materials the most useful materials to use in experiments about light are lenses and mirrors but first mirrors there are two kinds of mirrors there names are concave and convex
L-F,you cant forget flat mirrors there sort of in the middle flat mirrors are pretty important to
L-F,that law only works for smooth mirrors though
L-F,on bumpy mirrors the reflected ray would go in all directions that is a called a diffused reflection
L-F,now lenses there are two kinds of lenses concave and convex just like the mirrors they do the same things
L-F,lenses are transparent
L-F,there are two other forms that translucent and opaque
L-F,a transparent object means see through
L-F,a translucent object colors the light and
L-F,an opaque object means that it stops the light completely
L-F,now artificial light first chemiluminescence chemiluminescence is when chemicals react to make light
L-F,then there are lasers lasers are extremely bright and very strong they can go through anything
L-F,there are two different ways you can play with shadows one is an umbra and the other is a penumbra
L-F,those are the small the things to do with shadows but there are much bigger things those things are eclipses there are two eclipses that we know of solar and lunar
L-F,3 is it true that we cant see without light of course not
L-F,the colors of light i think are in the rainbow winch are redorangeyellowgreenblueindigoand violet
L-F,the primary colors of pigment paint are bluebeard yellow
L-F,there are 2 rinds of light natural and artificial the kind of light that is in your home is artificial if all the windows are covers
L-F,photoluminescence is light made by animals such as fireflies and the tiny fish that live at the bottom of the sea winch my mom loves
L-F,the aurora borealis is very bucketful it is light that hits the sky probably threw water that is why it looks waive
L-F,fl you want to make white light you mix red blue and green together and you have white light
L-F,a lunar eclipse is when the earth is in front of the moon
L-F,a solar eclipse is when the moon goes in front of the earth
L-F,a concave mirror is a mirror that is bent in
L-F,a convex mirror is a mirror that is bent out
L-F,photoluminescence is made by animals whose habits don't have much light
L-F,misalliance is made by semicircles
L-F,transparent objects are objects that you see threw
L-F,translucent is when only some light can shine threw
L-F,concave mirrors reflect light out and convex mirrors footrace the light
L-F,the law of reflection on a flat mirror is the light goes onto the mirror and bounces in the isopleth direction
L-F,the law of diffuse refection is the light goes to the mirror and bounces in the same detection
L-F,concave lenses and light rays help near sited people see far sited and
L-F,convex mirrors help far sited people see near sited
L-F,solar powered things are made with solar panels
L-F,lasers are a toolbox they melt mettle
L-F,an penumbra is a shadow shining around the shadow
L-F,an umbra is a dark shadow that comes from a small light
L-F,an opaque is an nontransparent thing
L-F,chemiluminescence is produced by a chemical reaction
L-F,luminescence is made by living things
L-F,lasers are very bright and intense and can burn through anything
L-F,things that glow have florescences
L-F,co lours of light the primary colors of light are red blue and green
L-F,and the secondary colors of light are yellow magenta and cyan
L-F,black light is made up of all the colors
L-F,and white light reflects everything
L-F,if you look at something that is blue all the colors are absorbed except blue and that is for every other color
L-F,light and materials a transparent object is a see through
L-F,a translucent object is see through but a little burier
L-F,an opaque object is not see through
L-F,the law of reflection is if light hit s a mirror on a 90 degree angle and it goes back ons 90 degree angle
L-F,diffuse reflection is if you crumple tin foil the light goes all over the place
L-F,a convex lens concentrates the light
L-F,a concave lens spreads the light out
L-F,white light is made from the primary colors mixed
L-F,if you shine light on a prism it makes a rainbow
L-F,eye cones are cones in your eyes that help you see colors
L-F,northern lights are colored lights
L-F,transparent objects are objects that can not be seen through and are opaque
L-F,translucent objects are objects are you can see through but not perfectly
L-F,an opaque object is a object that is sold and cannot be seen through
L-F,if you shine a light source on a crinkly piece of tinfoil the reflection goes every where and is called a diffuse reflection
L-F,a concave lens goes in
L-F,and a convex lens goes out
L-F,solar panels are panels used with light
L-F,photoluminescence is a animal that makes its own light
L-F,chemiluminescence is chemical made light
L-F,fluorescence is things that glow like a glow sticks from a party
L-F,lasers are a really strong form of light
L-F,when light shines on you it makes shadows
L-F,the umbra is the darkest part of the shadow
L-F,an solar eclipse is when the moon goes in front of the sun
L-F,a lunar eclipse is when the earths between the sun and the moon
L-F,i know that there is 7 colors in a rainbow red orange yellow green blue indigo violet
L-F,if you mix all three colors you get white light
L-F,if you mix blue and green you get cyan
L-F,if you mix red and blue you get magenta
L-F,you have 3 kinds of eye cones one sensitive to red one sensitive to green and one to red
L-F,a transparent object is see through like a window or light
L-F,a translucent object lets in just some light but you cant see through it like paper or frosty glass
L-F,an opaque object is solid so you cant see through it like a brick or a book cover
L-F,a convex mirror is like a belly mirror you are upside down until you walk really close you go right side up
L-F,angle of incidence the angle of reflection the law of reflection
L-F,a diffused reflection is when light hits a bumpy mirror and spreads all over the place
L-F,concave lenses help far sighted people see closer
L-F,convex lenses are for people that can only see close they help near sighted people
L-F,photoluminescence is when a animal makes its own light like a fire fly
L-F,chemiluminescence is when you turn chemical energy into light
L-F,fluorescence is when an object gives off light while getting it from another source
L-F,the primary colors of light are red green blue
L-F,the secondary are yellow magenta cyan
L-F,transparent objects menes clear
L-F,translucent you can see a little light
L-F,opaque tea means is inn see through
L-F,a concave mirror is like a cave
L-F,a convex mirier is like a lubberly belly
L-F,law of reflexion on a flat is when the light bows is off mirror
L-F,diffused reflection is when there is a bumpy mirror
L-F,concave lens help mer sided people
L-F,convex len help far said people
L-F,photoluminescence is some that make its own light
L-F,chemiluminescence light coxed be camel bestselling that glow bare made by clemmie
L-F,lasers are a very strong light
L-F,a umbra is a big light source
L-F,rainbows can only be made by sun light
L-F,the primary colors of light are red blue and green
L-F,if you mix green blue light it makes cyan
L-F,if you mix green red light together it makes yellow light
L-F,if you mix red and blue light together it makes magenta
L-F,win you mix all of t hem together it makes white
L-F,the umbra part of a shadow is darker then the penumbra part
L-F,penumbra is the lighter part of the shadow
L-F,transparent amens that all the light goes through
L-F,translucent means that only some light goes
L-F,opaque means that no light goes through
L-F,the law of reflection is when light hits a mirror at an angle it nonces of in the same angle
L-F,the diffuse reflection means that when there is a bumpy shine surfs the light goes every where
L-F,biosciences are living things that have light on their bodies like the angler fish or firer fies
L-F,chemiluminescence are chemicals that create light
L-F,florescence is a chemical that glows
L-F,our class had a debate on how light travels at first we only had 2 theories straight wave then we had particles ripples wave inside a tub we
L-F,the secondary councilors of light are cyan yellow and magenta
L-F,wen you mix all the primary colors of light together you see white light
L-F,an transparent object is a objectt that you can sealy see through like glass
L-F,an translucent object is a object or material that you can see the couplers through it but you cant see crustal clear like rice paper
L-F,if you shin a light on a crumpled up puce of tin fowl then the light will be every where thats called defuse reflection
L-F,if you look into a convex then you look bait stretched outland the sides are rill bleary
L-F,a soler panel takes light and converts it to energy
L-F,photoluminescence is an living thing that pro douses its on light
L-F,chemiluminescence is a chemical that makes light like the halloween glow skits
L-F,florescence thing arch thing that glow like those bedroom star
L-F,a laser is a hilly intense tool its all the tools
L-F,an umbra is the dark shadow
L-F,a penumbra is the light shadow
L-F,water bends light
L-F,some lenses make light spread out
L-F,there are many types of lenses there are glasses magnifying glasses and many many more
L-F,there are primary colors and secondary colors the primary colors of light are red blue and green
L-F,red and green make yellow light
L-F,green and blue light make cyan
L-F,and red and blue make magenta
L-F,and all three make white
L-F,and the secondary colors are magenta cyan and yellow
L-F,rainbows are light colors you can see
L-F,if you use it with aluminum foil thats all crumpled up then light will go out at all sides this is called a diffuse reflection
L-F,unlike convex mirrors convex mirrors can bounce off many sides those are the basic mirrors
L-F,opaque transparent and translucent are some terms in light opaque means that its non see through
L-F,translucent means that some light can go through but not all so part see through
L-F,to see a white shrift glow you need purple light
L-F,chemiluminescence is the chemical that make things glow
L-F,fluorescence is the process of demitting light while receiving energy from another source
L-F,lasers are very highly bright and intense light they can burn though anything
L-F,here is a example of umbra and penumbra when you put an easer under a flash light the black shadow is the umbra and the gray shadow is the penumbra
L-F,the primary colors of light are green red and blue
L-F,yellow is made by mixing green and red
L-F,magenta is made by blue and red
L-F,and cyan is made by blue and green
L-F,this is how we see white we mix red blue and green all together make white
L-F,an opaque object is something that you cant see though at all like a base ball or a baseball bat
L-F,a concave mirror is a mirror that has cave the image looks like your head is bent
L-F,a convex mirror is something that looks like somebodies belly the image looks like your head is bent out ward
L-F,the law of relation is when the angle of incandescence the angle of reflection
L-F,when light hits a bumpy surface its rays are reflected every where
L-F,a double concave lens is a magnifying glass lens when light gos though it it soots out every where
L-F,on a camera there is a convex lens to help focus the light when the light gos though the lens it gets concertinaed
L-F,my understanding of shadows are that shadows are always on the other side of the light source
L-F,the closer you get to the light the bigger your shadow gets
L-F,and the complete black area is called umbra
L-F,and where its grey is called penumbra
L-F,my understanding of the primary colors of light are red green and blue
L-F,but the primary colors of pigment are yellow blue and red
L-F,blue and green makes cyan
L-F,red and blue makes magenta
L-F,and red and green makes yellow
L-F,of course if you were in pigment yellow would be green
L-F,every person has eye cones that are sensitive to a servant color each eye con is sensitive to either red blue or green
L-F,try clewing one eye then switching one eye looks more red the other more blue since we don't have a third eye we see blue and red and not green because in pigment its replaced with yellow
L-F,the northern light are the color red eerie green and pink
L-F,chemiluminescence is when chemicals make things glow like luminescent paint
L-F,fluorescence is when something is giving off light while getting energy from another source
L-F,my understanding of transparent objects is that if you look at it you should see through it roughly a transparent object is usually like a window some toys and glass
L-F,opaque is a thing that you can see and see through but its fuzzy an opaque object is like plastic
L-F,a concave mirror when light is shown into it reflects the light all around and then up
L-F,solar panels can make lots of things do stuff
L-F,translucent object let some light but not all light through so translucent would be like frosted glass or clouds
L-F,an umbra is a small light source that makes a dark shadow
L-F,also the farther you walk away the longer your shadow will get
L-F,when light hits a double concave lens unlike the double convex the light will go further apart
L-F,i learned that a magnifying glass can focus the light more than it can when the light is just by itself
L-F,another thing i learned was that 70 of the worlds sea fish use photoluminescence to make themselves glow
L-F,photoluminescence is when a animal gives of its own light
L-F,fluorescence is when something gives of light while receiving it from somewhere else
L-F,and blue green and red make the color white
L-F,red has the longest light wave and violet has the shortest light wave
L-F,the colors of the rainbow are red antidisestablishmentarianism and violet
L-F,there are three kinds cones in your eyes red blue and green
L-F,a spectrum is another name for a rainbow
L-F,the northern lights are originally located in the north pole and some eskimo called inuits thought the northern lights were evil
L-F,a transparent object is something see through like a ghost or glass
L-F,translucent means that only a little light can get through for example frosty glass and tracing paper
L-F,opaque means that no light can get through for instance a cow is opaque and a chair is opaque
L-F,a concave mirror is pushed in
L-F,and a convex mirror is pushed out
L-F,some television screens in the 50s were convex screens
L-F,if light comes in on a 45 degree angle on a flat mirror it will come out on a 45 degree angle
L-F,on the other hand if light goes in on a 45 degree angle on a bumpy mirror it will come out all crazy
L-F,the colors of light is the rainbow
L-F,diffused reflection is when a light goad to wards a bumpy mirror and bounces in all directions
L-F,a transparent object is see through a prism is transparent and a peace of glass is transparent
L-F,an opaque object is not see through a brick book computer pencil and a tooth are all not see through
L-F,the convex lens is the very opposite this is to heal far sided people see near sided
L-F,the convex glass can also be used in magnifying glasses and in circus mirrors
L-F,solar panels are used for obsoleting light and made into electricity
L-F,photoluminescence is something that makes its own light
L-F,chemiluminescence is light caused by chemicals
L-F,an umbra is a dark shadow
L-F,and a penumbra is a light shadow
L-F,when you see your shadow you'll see a dark shadow and light shadow is called a penumbra
L-F,my understanding of lasers is that it is a beam of light that can burn through anything
L-F,my understanding of photoluminescence is that some creatures like a firefly glows in the dark witch is called photoluminescence
L-F,my understanding of fluorescence is that it is a process of light while reviving energy
L-F,a concave lens is a lens that spreads out light
L-F,a convex lens is a lens that focus light
L-F,the law of reflection is that if the light hits a flat mirror the angle of incidence the angle of reflection
L-F,a concave mirror is like a concave lens witch spreads out light
L-F,and for a convex mirror it focus light like a convex lens
L-F,a transparent object is a object that is see through
L-F,a translucent object is a object that is sort of see through
L-F,and a opaque object is a object that is not able to be see through
L-F,the secondary colors are yellow cyan and magenta
L-F,eye cones are thing are that respond to colors that are red blue and green
L-F,the northern lights are branches of light color that usually found in the north pole
L-F,an umbra is the darker part of a shadow
L-F,and the penumbra is the lighter part of a shadow
L-F,a lunar eclipse is when the sun goes in front of the moon
L-F,and a solar eclipse is just the reverse of a lunar eclipse
L-F,and red and blue makes magenta
L-F,and finally green and blue make cyan a shade of blue
L-F,the secondary colors of light are the colors that the primary colors make when mixing each other
L-F,transparent means see through transparent objects are ice and water examples
L-F,translucent means a little light can pass through like tracing paper and wax paper
L-F,opaque means no light can pass through all other objects are opaque and there are a lot of opaque objects in the world
L-F,diffuse reflection is when light bounces off of a bumpy mirror or a piece of crumpled aluminum foil and goes in all directions
L-F,the light rays from a concave lens go outwards like a v shape sort of
L-F,photoluminescence means that a living thing gives off its own light a firefly is an exemplar of a electroluminescent living thing
L-F,chemiluminescence means that an object gives off light because of some kind of chemical inside of it
L-F,things that glow are called fluorescent objects fluorescence
L-F,the three cones are green red and blue
L-F,red green and blue are the three primary colors of light
L-F,you get cyan when you mix green and blue
L-F,you get yellow when you mix red and green
L-F,you get magenta when you mix red with blue
L-F,those three colors are the three secondary colors of light
L-F,you get white when you mix all three primary colors of light
L-F,if colored light shines on a red pence case all the colors get absorbed but red red gets reflected
L-F,if colored light shines on a blue ruler all the colors get absorbed but blue blue gets reflected
L-F,if colored light shines on a black object all the colors of light get absorbed
L-F,if colored light shines on a white object all the colors of light get reflected
L-F,transparent objects are things that light can go through freely through glass and clear plastic
L-F,translucent objects are things that light can go through a bit like paper
L-F,opaque things are things that light cant go through things and produces a shadow opaque things are humans buildings and lots more
L-F,a convex mirror is shaped like richard massing belly
L-F,a concave mirror is shaped like a caves entrance
L-F,lasers are very highly bright and intense light it can burn through anything
L-F,photoluminescence are living things that gives off its own light
L-F,chemiluminescence is perused by chemical reactions
L-F,a unbar is a dark shadow
L-F,a penumbra is a light shadow
L-F,when a small light hits an nontransparent object it makes an umbra
L-F,when a larger light hits the same nontransparent object it makes an larger shadow then before and that is called an penumbra
L-F,an opaque object is an nontransparent object but in an scientific way
L-F,i also understand that the shadow is always on the parasite side of the light source
L-F,the closer you are to the light source the bigger your shadow is
L-F,i all so know that when light goes in to a different medium it bends more like air and water those are different mediums
L-F,a laser is a really hot berm of light and it can burn mete
L-F,chemiluminescence is a chemical that makes light
L-F,photoluminescence is a animal that makes its on light
L-F,the secondary colors are cyan yellow and magenta
L-F,northern lights are colored lights in the ski
L-F,if you want to make a rainbow there are two ways to so you could either shine light on water or on a prism it will work either way
L-F,transparent is something that you can see through
L-F,translucent is something that you can sort of see through
L-F,opaque is something that you can not see through
L-F,a concave mirrors a cave shape mirror
L-F,a convex mirror is like a tummy
L-F,the law of reflection is the angle of incident equals the angle of reflection
L-F,diffuse reflection means when light hits busby service light moves all over the place
L-F,when light hits a convex lens it focuses the light and then speeds the light
L-F,a concave mirror takes in light and dress it out
L-F,the primary colors of light are bluebeard green
L-F,the primary colors can be made into the secondary colors
L-F,the secondary colors are reacknowledgment
L-F,and agreeableness
L-F,and bluejacket
L-F,and the secondary colors all mixed into one makes white light
L-F,all we see now to the all we see is light view a myriad of notes agree on that you can only see with light
L-F,photoluminescence is light created by animal
L-F,to make white light you need to mix all the primary colors together
L-F,to make a rainbow with a prism you need to shine light through a prism and it makes a rainbow
L-F,there is a thing called a color wheel
L-F,there are cones in your eye they are sensitive to colored light
L-F,if you stare at a picture of a green frog for 10 seconds then stare at a blank sheet of paper you will see a red frog
L-F,there are three different types of materials opaque translucent and transparent
L-F,opaque means nothing can pass through it
L-F,translucent means that it is see through but is colored
L-F,transparent means it is completely see through
L-F,a concave mirror focuses the light inward
L-F,a convex mirror focuses the light outward
L-F,de fussed reflection is like this
L-F,a convex lens focuses the light outward on the other side of the lens
L-F,a concave lens focuses the light inward on the other side of the lens
L-F,fluorescence is when a object is emitting a glow while getting light from another source
L-F,a laser is so very very strong it can cut through anything
L-F,a umbra is a dark shadow caused by a small light source
L-F,a penumbra is a light shadow caused by a big light source
L-F,our class has many theories about how light travels we have 5 theories 1 ripple 2 wave 3 wave in tube 4 particle 5 straight
L-F,there are 3 different theories about how light effects how we see the two theories are your eyes can adjust to light they cant and you see only the outlines
L-F,my understanding of light in natural and artificial light even though i am a master of that view i know that stars are made of gas not fire i found that interesting because before i read those notes i thought that stars were made of fire and only planets were surrounded by gas
L-F,i also learned lasers can cut through absolutely anything even diamonds
L-F,also i learned that 70 percent of the underwater animals use photoluminescence i also found this interesting fungi and bacteria use photoluminescence
L-F,a umbra is the darker part of the light that you may shine anywhere you see the umbra when the light hits something
L-F,the penumbra is a lot like the umbra but is the lighter part
L-F,in light and materials i know that a transparent object is see through
L-F,a translucent object is sort of see through
L-F,and opaque is non see through
L-F,you can see more in a convex mirror than a concave mirror
L-F,the law of reflection is when the indecent ray hits the flat mirror the reflection ray bounces back
L-F,a diffuse reflection is when light hits a something bumpy and the light goes everywhere
L-F,in co lours of light it talks about the primary colors of light are red blue and green
L-F,and the secondary colors are yellow magenta and cyan
L-F,if you mix the primary colors of light you get white light
L-F,if you shine light through a prism it makes a rainbow
L-F,the northern lights are usually found up north people used to be scared of them
L-F,there are two types of shadows the umbra and the penumbra
L-F,the umbra is a small and dark shadow you will get when you use a small light sours
L-F,the penumbra is a lighter shadow around the umbra you get the penumbra when you use a large light
L-F,you can use shadow to tell time with a sundial
L-F,and the primary colors of paint are red yellow and blue
L-F,the secondary colors of light are yellow cyan and magenta
L-F,the secondary colors of paint are purple orange and green
L-F,you can make white light by mixing red blue and green
L-F,light can be reflected and absorbed
L-F,the northern lights are also called the aurora borealis the aurora borealis is light there are lots of colors in the aurora borealis
L-F,there are 3 ways to describe an object the 3 ways are transparent translucent and opaque
L-F,a transparent object is like glass you can see through it
L-F,a translucent object is an object that is ike sand falling through water light can go through it
L-F,an opaque object is like peter light cant go through him
L-F,a convex mirror looks like the picture above on the right
L-F,a convex lens focuses the light
L-F,a concave lens speeds out the light
L-F,there are 4 come types of luminescences photoluminescence chemiluminescence electro luminescence and thermoluminescence
L-F,things that glow are called fluorescence
L-F,gazers are very strong and used for a lot of things
L-F,the sun is the most important light source
L-F,objects that don't give off light are non luminous
L-F,a flashlight is luminous when on but is non luminous when switched off
L-F,when an animal gives off its own light its called photoluminescence as in biomasses
L-F,chemiluminescence is produced by certain chemical reactions for example glow sticks
L-F,electro luminescence is produced by electric discharges for example when silk or fur is stroked or when adhesive surfaces are separated
L-F,a rainbow is made up of seven different colors red orange yellow green blue indigo violet
L-F,the primary colors of light are blue green and red
L-F,and the secondary colors are yellow magenta and sin
L-F,yellow is made when mixing green and red
L-F,magenta is made when mixing red and blue
L-F,and sin is made when mixing green and blue
L-F,the law of reflection is the angle of incidence equals the angle of reflection
L-F,red and green make yellow
L-F,a penumbra is a lighter shadow
L-F,the primary colors are red green and blue
L-F,the secondary colors of light are yellow magenta and cyan
L-F,the primary colors of light are red green and blue
